iter	Passed	Remaining
0	1	119
1	2	112
2	3	104
3	3	94
4	4	94
5	5	91
6	6	89
7	7	86
8	8	86
9	9	85
10	10	84
11	11	84
12	12	83
13	13	82
14	14	81
15	15	80
16	16	80
17	17	79
18	18	77
19	19	76
20	20	75
21	21	75
22	22	73
23	22	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	68
29	28	66
30	29	65
31	30	65
32	31	64
33	32	62
34	33	61
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	53
44	42	52
45	44	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	50	46
52	50	45
53	51	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	82	14
85	83	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
