iter	Passed	Remaining
0	171	171044
1	173	86603
2	176	58563
3	179	44571
4	181	36181
5	184	30506
6	186	26417
7	188	23407
8	190	21004
9	192	19035
10	193	17439
11	195	16092
12	197	14964
13	198	13997
14	200	13144
15	202	12432
16	203	11772
17	204	11181
18	206	10646
19	207	10167
20	208	9726
21	210	9344
22	211	8983
23	212	8653
24	213	8339
25	215	8055
26	216	7790
27	217	7542
28	218	7312
29	219	7095
30	220	6893
31	221	6710
32	223	6536
33	224	6367
34	225	6210
35	226	6066
36	227	5925
37	228	5791
38	230	5677
39	231	5556
40	232	5445
41	234	5342
42	235	5238
43	237	5162
44	239	5077
45	240	4992
46	241	4902
47	242	4818
48	244	4738
49	245	4662
50	246	4585
51	247	4517
52	249	4453
53	250	4386
54	251	4324
55	253	4269
56	254	4213
57	256	4160
58	257	4105
59	258	4051
60	259	3998
61	260	3947
62	262	3898
63	263	3850
64	264	3803
65	265	3762
66	267	3719
67	268	3676
68	270	3649
69	271	3612
70	273	3578
71	274	3539
72	275	3503
73	276	3466
74	278	3429
75	279	3399
76	280	3366
77	282	3336
78	284	3316
79	286	3289
80	287	3263
81	288	3231
82	289	3195
83	290	3165
84	291	3137
85	292	3110
86	293	3084
87	295	3058
88	296	3034
89	297	3010
90	299	2995
91	301	2973
92	302	2955
93	304	2931
94	305	2908
95	306	2885
96	307	2863
97	308	2841
98	310	2821
99	311	2807
100	313	2791
101	314	2772
102	315	2751
103	316	2730
104	318	2712
105	319	2692
106	320	2672
107	321	2656
108	322	2639
109	323	2620
110	325	2603
111	327	2594
112	328	2580
113	330	2567
114	331	2550
115	332	2533
116	333	2516
117	334	2503
118	336	2489
119	337	2475
120	338	2461
121	340	2447
122	341	2433
123	342	2418
124	343	2404
125	344	2389
126	345	2374
127	346	2360
128	347	2347
129	349	2338
130	351	2331
131	353	2322
132	354	2309
133	355	2300
134	357	2288
135	358	2274
136	359	2263
137	360	2251
138	361	2240
139	362	2229
140	363	2217
141	364	2203
142	365	2191
143	366	2179
144	367	2169
145	369	2163
146	371	2155
147	373	2150
148	374	2141
149	375	2130
150	377	2120
151	378	2111
152	379	2101
153	380	2090
154	381	2080
155	382	2072
156	384	2066
157	386	2062
158	388	2052
159	389	2044
160	390	2032
161	391	2023
162	392	2013
163	393	2004
164	394	1995
165	395	1987
166	396	1978
167	398	1972
168	400	1967
169	401	1960
170	402	1952
171	403	1944
172	405	1936
173	406	1928
174	407	1920
175	408	1912
176	409	1904
177	410	1896
178	412	1892
179	414	1887
180	416	1885
181	417	1878
182	418	1870
183	419	1862
184	420	1854
185	422	1847
186	423	1840
187	424	1833
188	425	1827
189	427	1821
190	428	1816
191	430	1811
192	431	1805
193	433	1799
194	434	1792
195	435	1785
196	436	1778
197	437	1772
198	438	1766
199	439	1758
200	440	1752
201	442	1747
202	444	1746
203	446	1740
204	447	1734
205	448	1728
206	449	1721
207	450	1716
208	451	1709
209	452	1703
210	454	1697
211	455	1691
212	457	1688
213	459	1686
214	460	1682
215	461	1676
216	463	1670
217	464	1665
218	465	1659
219	466	1653
220	467	1647
221	468	1642
222	469	1636
223	471	1632
224	473	1631
225	475	1626
226	476	1622
227	477	1617
228	478	1611
229	479	1606
230	480	1600
231	481	1595
232	482	1589
233	484	1585
234	485	1580
235	487	1577
236	488	1572
237	489	1566
238	490	1561
239	491	1557
240	493	1555
241	495	1551
242	496	1546
243	497	1542
244	498	1537
245	500	1534
246	502	1531
247	504	1529
248	505	1525
249	506	1520
250	508	1516
251	509	1511
252	510	1507
253	511	1502
254	512	1497
255	513	1493
256	515	1490
257	517	1488
258	519	1486
259	520	1481
260	521	1477
261	522	1471
262	523	1468
263	524	1463
264	526	1460
265	527	1455
266	528	1450
267	529	1445
268	530	1442
269	532	1439
270	534	1437
271	535	1433
272	537	1430
273	538	1426
274	539	1421
275	540	1417
276	541	1412
277	542	1408
278	543	1405
279	545	1401
280	547	1399
281	548	1396
282	550	1393
283	551	1389
284	552	1385
285	553	1381
286	554	1377
287	555	1374
288	556	1369
289	557	1365
290	558	1361
291	559	1357
292	561	1354
293	563	1353
